XGBoost + SMOTETomek params,Precision,Recall,Accuracy,F1,AUROC,AUPRC,Training time (s),Testing time (s)
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 2}",0.8893708666197053,0.9585869748220184,0.9196739597147072,0.922682628382184,0.9196739596621522,0.8732458527551994,20.01995167732239,4.436999368667602
"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 2}",0.8976378982984722,0.9571799975790141,0.9240139502156964,0.9264532242628757,0.9240139501493105,0.8806110566596805,20.002550888061524,4.43220067024231
