Classifier,Confusion Matrix,Precision,Recall,Accuracy,F1,AUROC,AUPRC,Training times (s),Testing times(s)
Gaussian NB ,"[[816214  12453]
 [  1423   1033]]",0.07659795343318998,0.4206026058631922,0.9833045169006273,0.12959478108142017,0.7027874282388668,0.03392944010132762,0.43984031677246094,0.24347996711730957
Logistic Regression ,"[[828382    285]
 [  1137   1319]]",0.8223192019950125,0.5370521172638436,0.9982890619078043,0.6497536945812807,0.7683540957083349,0.4429962970570855,9.154254913330078,0.025998592376708984
KNN ,"[[828435    232]
 [   624   1832]]",0.8875968992248062,0.745928338762215,0.9989700682089173,0.8106194690265486,0.872824185527521,0.6628344719283598,9.252238273620605,32.27228379249573
Decision Tree ,"[[828424    243]
 [   301   2155]]",0.8986655546288573,0.877442996742671,0.9993454639084708,0.8879274824886692,0.9385748773522772,0.7888899579177207,21.032633543014526,0.07213973999023438
Random Forest ,"[[828635     32]
 [   471   1985]]",0.984134853743183,0.8082247557003257,0.9993947947536045,0.8875475072658171,0.9040930697324266,0.7959688548661242,805.4370019435883,8.143641233444214
XGBoost ,"[[828616     51]
 [   342   2114]]",0.9764434180138568,0.8607491856677525,0.9995271458015239,0.9149534732741831,0.9303438205212344,0.8408843683459593,89.33400774002075,0.23600029945373535
